Patient_ID,eRNA_chr1_155158995,eRNA_chr10_5528926,eRNA_chr10_5531356,eRNA_chr12_13371038,eRNA_chr3_11236700,eRNA_chr3_138070534,eRNA_chr8_22624675,eRNA_chr9_71398719,eRNA_chr9_71398939,eRNA_chr9_114689796,PIP5K1B,PEBP4,EMP1,UGCG,MRAS,CALML5,MUC1,HRH1
TCGA-3C-AAAU,46.5870112080531,1.61270946639524,0.249204553306107,1.43826627908096,1.44894647422265,0.69065261916264,4.26851799162889,5.93818849877981,5.54302127853727,0.726253269634941,0.772223505562853,0.05755424645808902,3.9582394933626297,4.9789506499798915,2.1632410851635435,0.029558897449116415,6.971524011335786,0.7386381505183938
TCGA-3C-AALI,15.1709728167025,0.551395810943839,0.202347086584895,1.42654696042351,2.39781297603101,0.202347086584895,0.202347086584895,5.77195064483413,4.46681193636156,3.06049968459654,0.437866900870151,0.08732705179747538,3.0922751051330946,4.652589745739197,2.1461990133524798,5.643126001330775,5.044603950649768,2.148641306938927
TCGA-3C-AALJ,5.96019020006938,1.33024534900099,1.07974460146185,1.75350523277404,0.34551827246779,0.621932890442023,7.67050564878495,4.46582367164619,9.3980970111239,2.03855780755996,0.10057404021319741,0.14169436196453092,4.167919865551935,5.260910127307605,2.887934626117675,2.9104448615812704,3.7874847048456948,1.1441769243465265
TCGA-3C-AALK,77.1428537561916,1.0544845063206,0.274891025953542,0.973666350726688,1.6933327838725,0.153939343988409,9.628905966475,4.79905904883866,4.82984691763634,1.81648425906323,0.5008020530571576,0.08215755908542595,4.113592159632916,4.489703483048175,2.2618617396528973,7.483966486695295,8.263032527323404,0.9969671548109422
TCGA-4H-AAAK,22.6426027769067,0.752460213816686,0.619167261654873,3.00554108261637,0.546071126598395,1.07924293524565,0.799757712970878,7.81698667839278,7.63639622707677,2.42077200216454,0.18827431132120426,0.6301258523243805,4.506462306681605,5.176258935164363,2.2160823083738586,4.487537799752097,6.203310803238726,1.00417776078911
TCGA-5L-AAT0,42.2709857474075,0.23490406083583,0.23490406083583,1.00421486007317,0.422827309504493,1.32720794372244,5.96069054370917,5.6494426631017,7.51692994674654,1.44465997414035,0.41921526006795384,1.4287855898480517,3.979824150025785,4.951228754801303,2.2852838390278594,1.7561693281392987,6.8950468790322,1.1327084394083
TCGA-5L-AAT1,50.1724804798814,0.330462575200931,0.0,1.58622036096447,3.8333658723308,1.03269554750291,0.0,6.79926748475916,9.0877208180256,2.42063836334682,0.9014172209116916,0.4667576157261716,4.102842865117357,4.744198777411456,2.61666351969327,1.9875755437083262,6.978931207444292,2.237410752719177
TCGA-5T-A9QA,77.2245585162394,0.484090634798554,0.278352115009169,0.427139792067678,0.62931782523812,0.574857628823283,0.913721073182271,5.34315038158904,5.71832062355792,20.5254429154587,2.0601165760174203,0.032524065692199365,3.556110552581463,5.3315475832802965,0.723340120251171,0.1432627930386199,8.473493083537472,0.2183472092784992
TCGA-A1-A0SB,1.79424453280272,0.421724142325426,0.628752357648818,1.80574610032069,0.0,1.44536365142442,0.0,11.2216960416957,11.8581161110231,0.153354233572882,1.7959746942066679,0.3115031154682697,3.971782642161145,2.8048176709617523,3.440527031875852,8.326317123319848,2.3521652825713435,0.23952024689811735
TCGA-A1-A0SD,29.374051967035,2.20346996058665,2.00043118778334,3.71128248648657,1.86396250442375,0.272937366719192,0.319536429329785,6.51721175653875,6.06120664384937,2.27669705897472,1.2121957772120309,0.2666366425139895,4.882109887264956,6.32647083479887,2.6874414737306016,2.6305219634716384,7.6644984846464315,1.429267800885093
TCGA-A1-A0SE,11.1598290688782,0.582054021949069,0.130067937865714,2.30220250022313,1.63885601710799,0.305659653984427,5.63519340803204,6.4968934963924,6.86758711930968,1.25840729885078,0.6156987816891009,2.0902775921730363,4.665551949922257,5.275584457068778,2.409309463999687,3.0977961777698257,7.608215634853947,1.0643310462459836
TCGA-A1-A0SF,11.087318532132,0.317347220955478,0.158673610477739,2.12225954013976,2.44754044161912,0.396684026194347,6.36677862041928,8.3303645500813,8.94919163094448,1.84061388154177,1.6221338383657997,1.7030120792508725,4.621770576361894,3.9105312077062573,1.831309777622071,1.6817191128824673,6.676541047478741,0.49610437977073235
TCGA-A1-A0SG,4.87938421121306,5.67044134199189,8.59735272587356,1.94168568463895,1.02477855578167,0.143828569232515,1.28007426616938,7.36402274470475,3.43390709042629,5.59133562891401,0.25386828044171933,0.14886904353100072,4.040489190994259,4.757626021970397,2.227063305835854,2.8534567807690157,5.999120589736922,1.1113652309276465
TCGA-A1-A0SH,5.97900226262484,2.02181026433623,2.09897859503608,2.76879970551083,1.071096430114,0.246938658239539,0.512397715847044,6.50683364461186,7.30938428389036,1.04640256429005,0.18827431132120426,3.9967502788491847,5.4196838278938735,3.8258771919452723,2.3463612559550033,1.1046721312825625,6.834668241700126,0.9205981969291892
TCGA-A1-A0SI,25.4685408633171,1.30084265174016,1.57220122640424,2.27997152939405,3.58920671437124,0.998711455206963,0.111900443160444,4.22144421822775,3.74027231263784,0.727352880542886,2.099564527163197,0.1159654315868068,4.313492569279073,3.9514572451480405,2.986811375457232,8.092340654547785,7.8694778677968396,1.6947465005779068
TCGA-A1-A0SJ,0.267780249154583,2.25499157182806,7.07855948094153,6.81077923178695,0.778676777146878,0.23606943017575,0.465092011689538,4.96098145802174,5.08077788527511,0.570794741618979,0.4368014735705005,0.19773960600635554,5.18742334008033,5.046093749230588,2.484988799686007,5.845123685341261,2.620985149095337,0.8184415757641648
TCGA-A1-A0SK,0.507600072296753,0.480407211280856,0.349622844081997,0.646585806378007,0.120857160070656,0.833914404487523,0.120857160070656,2.67396466656325,2.9217218447081,0.519685788303819,4.230641105503765,0.03491998434915955,2.79447825181382,2.9957920198433974,2.228387741218706,5.608554974832583,1.7350888704781762,0.5018212654209103
TCGA-A1-A0SM,31.2826816167402,1.61230840805524,2.22214526706059,3.91242368448638,9.07515216209332,0.573636497511882,9.69334295067409,3.51143506486643,3.37220290527616,0.320233967057604,0.039980597690881255,4.882144132953794,4.719391559150712,3.5987820401335293,2.333738573286604,2.4609260010879055,8.750724402287469,1.6601071664705784
TCGA-A1-A0SN,45.183201995391,0.0,0.450874683297593,0.734987497430323,3.08200639678766,0.367493748715162,0.839985711348941,3.63170292847924,3.36611921092039,2.05981790246229,1.3740100576179324,0.4464679860973255,3.766160485697069,4.63876894441695,2.473734968463598,7.939177201727052,7.783249062116176,1.1100959291034205
TCGA-A1-A0SO,0.3279622996759,1.90572687649509,2.66506301178074,1.13161766464747,0.0,19.1281795324484,0.0,3.05211761770455,2.60301609022043,0.558422294042749,2.1086582657648294,0.016211033155917154,3.456701031008205,3.3143920051192333,5.541369249267556,9.154145960336267,1.4357885883269776,0.36546858577813096
